ABLV Bank,,02/13/2018,,
Asia Wealth Bank,,11/25/2003,4/12/2004,10/01/2012
Banca Privada d’Andorra,3/10/2015,03/10/2015,,2/29/2016 (Finding) 2/29/2016 (NPRM)
Banco Delta Asia,9/15/2005,9/15/2005,3/14/2007,
Bank of Dandong,,7/7/2017,11/08/2017,
Burma****,,11/25/2003,4/12/2004,
Commercial Bank of Syria (Includes Syrian Lebanese Commercial Bank),,5/18/2004,3/09/2006,
Democratic People’s Republic of Korea,5/27/2016,5/27/2016,11/9/2016,
FBME Bank Ltd.,7/15/2014,7/15/2014,03/31/2016 (Final Rule),
,,,12/01/2016 (Supplement),
First Merchant Bank OSH Ltd.,,8/24/2004*,---,4/10/2008
First Merchant Finance Ltd.,,8/24/2004*,---,4/10/2008
First Merchant International Inc.,,8/24/2004*,---,4/10/2008
First Merchant Trust Ltd.,,8/24/2004*,---,4/10/2008
FMB Finance Ltd.,,8/24/2004*,---,4/10/2008
Halawi Exchange Co.,4/23/2013,4/23/2013,---,
Infobank (Includes Belmetalnergo); renamed Trustbank ***,,8/24/2004*,---,12/08/2014
Islamic Republic of Iran,11/25/2011,11/28/2011,---,---
JSC CredexBank,5/25/2012,5/30/2012,---,2/24/2016 (Finding) 2/24/2016 (NPRM)
Kassem Rmeiti & Co. For Exchange,4/23/2013,4/23/2013,---,---
Liberty Reserve S.A,5/28/2013,5/28/2013,,2/19/2016
Lebanese Canadian Bank SAL,2/10/2011,2/10/2011,,9/28/2015
Multibanka,,4/21/2005,---,7/12/2006
Myanmar Mayflower Bank,,11/25/2003,4/12/2004,10/01/2012
Nauru,12/26/2002,4/17/2003,---,4/18/2008
Ukraine,12/26/2002 ,,---,4/17/2003
VEF Banka,,4/21/2005,7/12/2006,8/01/2011
